aabq	傲岸不羣
ldlp	累牘連篇
ldmv	拉丁美洲
ldmy	靈丹妙藥
ldpg	瀝膽披肝
ldqj	力敵千鈞
ldrm	勞動人民
ldru	狼多肉少\t料敵若神
ldrx	路斷人稀
ldry	鋃鐺入獄
ldui	立地書櫥\t立地書廚
ldse	兩豆塞耳
lduj	力敵勢均
ldsq	零打碎敲
lduy	靈丹聖藥
ldtj	李代桃僵
ldty	立定跳遠
ldwa	落袋爲安
ldwi	老大無成
ldwj	樂道忘飢
ldwq	力大無窮
ldxm	浪得虛名
ldyb	利大於弊
ldyf	浪蝶游蜂
ldyj	臨敵易將
ldyl	老掉牙了
ldyr	樂道遺榮
ldys	累得要死
ldyu	落地有聲
ldyv	老當益壯
ldyx	兩點一線
ldyy	亂點鴛鴦
ldvg	瀝膽濯肝
ldzj	流動資金
ldzm	拉丁字母
ldzr	連帶責任
ldvu	料敵制勝
ldzy	領導作用
lebg	廉而不劌
lebh	樂而不荒
lebs	老而不死\t連二並三
leby	樂而不淫\t樂而不厭
legs	連二趕三
lejt	爛額焦頭
lemj	老而彌堅
letg	斂鍔韜光
letv	籠而統之
lewf	樂而忘返
lewg	勞而無功
lews	樂而忘死
lfbu	流芳百世
lfck	燎髮摧枯
lfix	龍鳳呈祥
lfiy	闌風長雨
lfdi	轢釜待炊
lfee	聊復爾耳
lffw	龍飛鳳舞\t鸞飛鳳舞
lffy	闌風伏雨
lfgl	麟鳳龜龍
lfhm	鸞鳳和鳴
lfhu	綠肥紅瘦
lfjg	立法機關
lflq	老夫老妻
lflt	兩房兩廳
lfnf	卵覆鳥飛
lfqg	流芳千古
lfuq	老夫少妻
lfuv	輪番上陣
lftx	撩蜂剔蠍
lfws	落髮爲僧
lfyf	羅敷有夫
lfym	麟鳳一毛
lfyt	兩房一廳
lfyy	列風淫雨\t流風餘韻
lgab	立國安邦
lgbh	李廣不侯
lgbj	磊瑰不羈
lgbq	連根拔起\t陵谷變遷
lgbt	龍肝豹胎
lgid	淚乾腸斷
lgih	斂骨吹魂
lgiy	連更徹夜
lgiv	狼顧鴟張\t狼顧鴟跱
lgdh	留個電話
lgdp	連滾帶爬
lgdu	連根帶梢
lgdv	兩個多鍾
lgdx	理工大學
lgdy	兩個多月
lgfm	兩個方面
lgfn	龍肝鳳腦
lgfs	龍肝鳳髓
lgfw	鸞歌鳳舞
lgfv	鸞孤鳳只
lghm	裂冠毀冕
lghu	狼顧虎視
lghy	狼顧狐疑
lgjb	兩國交兵
lgjj	狼顧麕驚
lgjx	論甘忌辛
lgjy	立竿見影
lglb	兩個禮拜
lgmj	擂鼓鳴金
lgmm	礪戈秣馬
lgmx	鏤骨銘心
lgnf	李廣難封
lgnx	留個念想
lgqf	蘭桂齊芳
lgqj	六根清淨\t良工巧匠\t六根清靜
lguj	立功受獎
lgsk	盧甘斯克
lgul	擂鼓篩鑼
lguz	立功贖罪
lgti	李郭同船
lgtv	李郭同舟
lgvb	立國之本
lgvt	兩個鐘頭
lgvx	靈光乍現
lgvy	樂觀主義
lgwf	李廣未封
lgwl	裏勾外連\t濫官污吏
lgwt	兩個問題
lgxf	兩瞽相扶
lgxk	良工心苦
lgxq	兩個星期
lgxu	兩個小時\t論功行賞
lgxt	鑼鼓喧天
lgxy	留個心眼\t連更曉夜\t連更星夜
lgxv	李郭仙舟
lgyc	流光溢彩
lgyi	略高一籌
lgyu	流光易逝\t狼顧鳶視
lgyx	靈光一現
lhbd	冷灰爆豆
lhbh	離合悲歡
lhbr	烈火辨日
lhiq	爐火純青
lhdu	利害得失\t連昏達曙
lhds	林寒洞肅
lhdy	梨花帶雨
lhei	臉紅耳赤
lher	臉紅耳熱
lhet	落荒而逃
lhfd	琅嬛福地
lhgj	狼嗥狗叫\t狼嗥鬼叫\t狼嚎鬼叫
lhgk	狼號鬼哭
lhhl	烈火轟雷
lhjb	臉紅筋暴
lhji	連昏接晨\t連昬接晨
lhju	臉黃肌瘦
lhjv	臉紅筋漲
lhlq	來回來去
lhlu	落花流水
lhpj	陸海潘江
lhpm	驪黃牝牡
lhpy	烈火烹油
lhqn	離魂倩女
lhqy	來鴻去燕
lhuc	利喙贍辭
lhuh	論黃數黑
lhuq	斂後疏前
lhwy	落花無言
lhxd	兩虎相鬥
lhxg	利害相關
lhxu	來好息師
lhxz	樂禍幸災
lhyb	禮壞樂崩
lhyg	利害攸關
lhyy	落花有意
lhvn	六合之內
ljal	樂極哀來
ljau	樂盡哀生
ljbb	劣跡斑斑
ljbg	屢教不改\t累教不改
ljbj	狼艱狽蹶
ljbl	樂極悲來\t樂盡悲來
ljbp	路見不平
ljbu	醴酒不設\t樂極悲生
ljbv	屢禁不止\t離經辨志
ljbx	屢見不鮮
ljcc	鏤金錯彩
ljcd	路經此地
ljih	臘盡春回
ljim	老將出馬
ljcs	歷盡滄桑
ljcx	亂箭攢心
ljdk	拉家帶口
ljdr	雷驚電繞
ljdx	連街倒巷
ljfi	龍駒鳳雛
ljfg	廉潔奉公
ljfh	兩極分化
ljfj	麟角鳳距
ljfl	老驥伏櫪
ljfm	棱角分明
ljfn	良家婦女
ljfy	鸞交鳳友
ljfz	麟角鳳觜\t麟角鳳嘴\t浪跡浮蹤
ljgl	漏盡更闌
ljgu	勵精更始\t歷精更始\t厲精更始
ljhm	龍精虎猛
ljhq	煉精化氣
ljjh	老奸巨猾\t浪跡江湖\t老奸巨滑
ljjp	力盡筋疲
ljjs	淪肌浹髓
ljjx	歷盡艱辛
ljkd	樂嗟苦咄
ljkg	勞筋苦骨
ljlb	牢甲利兵
ljlr	連階累任
ljlt	旅進旅退
ljmh	戀酒迷花
ljmj	歷久彌堅
ljms	利繮名鎖
ljmt	歷井捫天
ljmx	歷久彌新
ljmy	良金美玉
ljpd	離經叛道\t離經畔道
ljpz	浪跡萍蹤
ljqi	樂見其成
ljqc	麗句清詞\t麗句清辭
ljqf	類聚羣分
ljqg	屢建奇功
ljqr	戀姦情熱
ljqu	量價齊升
ljqv	勵精求治
ljua	樂極生哀
ljub	樂極生悲
ljui	兩腳書櫥
ljud	力均勢敵\t力鈞勢敵
ljsr	利己損人
ljus	力竭聲嘶
ljuu	流金鑠石
ljsu	六街三市
ljsw	邏輯思維
ljsy	流金歲月
ljtv	勵精圖治\t歷精圖治\t厲精圖治
ljtx	浪跡天下
ljty	浪跡天涯
ljvt	臨界狀態
ljvy	利己主義
ljwg	累及無辜
ljwv	歷精爲治
ljxi	浪酒閒茶
ljxu	落井下石
ljyb	略見一斑\t臨機應變
ljyd	靈機一動
ljyh	兩腳野狐
ljyj	糧盡援絕
ljyk	羅掘一空
ljyq	略跡原情
ljyx	瞭解一下
ljzb	樂極則悲
ljzl	廉潔自律
ljzy	樂極則憂
ljvv	劣跡昭著
lkbu	力可拔山
lkbt	簾窺壁聽
lkij	臨渴穿井
lkgg	勞苦功高
lkjc	廉可寄財
lkjj	臨渴掘井
lkjs	累塊積蘇
lklf	亂砍濫伐
lkss	雷克薩斯
lkux	拉枯折朽
lkwm	拉開帷幕
lkwq	冷酷無情
lkyx	良苦用心
llbb	摟摟抱抱
llbf	離鸞別鳳\t磊落不凡
llbh	離鸞別鵠\t離鸞別鶴
llbj	磊浪不羈\t磊落不羈
llbl	襤褸篳路
llbm	來歷不明
llbs	羅裏吧嗦
llbu	戀戀不捨\t連類比事
llbt	浪裏白條
llbw	連類比物
llii	拉拉扯扯\t離離矗矗
llid	兩肋插刀
lldd	量力度德\t犖犖大端\t嘮嘮叨叨
lldf	落落大方
lldp	流離顛沛
lldz	老來得子
llew	量力而爲
llex	量力而行
llfc	亂了方寸
llfi	淪落風塵
llff	雷厲風飛
llfu	聯絡方式
llfx	雷厲風行\t雷令風行
llfv	連理分枝
llgh	落落寡歡\t落落寡合
llgm	磊落光明
llhh	烈烈轟轟\t柳綠花紅\t綠林好漢\t磊落豪橫
llhk	綠林豪客
lljh	流落江湖
lljj	寥寥幾句\t連裏竟街
lljv	淋漓盡致
llkb	歷歷可辨
llkj	歷歷可見
llkk	歷歷可考
llku	歷歷可數\t寥寥可數
llll	磊磊落落\t歷歷落落
lllq	聊來聊去
llls	囉裏囉嗦
lllt	邋里邋遢
llmm	琳琅滿目\t落落穆穆\t淚流滿面
llnh	落落難合
llqh	路柳牆花
llqk	朗朗乾坤
llqm	來龍去脈
llqq	來來去去
llrc	歷來如此
llrx	籠絡人心
llrv	累累如珠
lluk	朗朗上口\t琅琅上口
llur	寥寥數人
lluu	老老實實
llss	零零碎碎
llus	流離失所
llsu	磊落颯爽
llsw	流離瑣尾
lluy	寥寥數語
lltt	玲瓏剔透
lltx	勠力同心\t戮力同心
llvj	亂了陣腳
llvv	林林種種
llwf	流連忘返
llwj	慄慄危懼\t寥寥無幾
llwn	碌碌無能
llww	碌碌無爲\t碌碌無聞
llxu	亂了心神
llyd	磊落軼蕩
llyq	老萊娛親
llyx	聊了一下
llyv	澧蘭沅芷
llze	歷歷在耳
llzh	老淚縱橫
llvh	利令智昏\t利令志惛
llzm	歷歷在目
llvm	連理之木
llvw	累卵之危
llvx	流離轉徙
llzz	林林總總\t拉拉雜雜
lmaf	梨眉艾發
lmau	立命安身
lmbd	連綿不斷
lmbj	連綿不絕
lmbx	黎民百姓
lmiy	連明徹夜
lmdg	羅馬帝國
lmdh	連蒙帶唬
lmdk	羅曼蒂克
lmdp	連蒙帶騙
lmdy	連明達夜
lmdv	勞民動衆
lmeu	兩面二舌
lmev	聯袂而至
lmfc	勞民費財
lmfd	狼猛蜂毒
lmgj	另謀高就
lmgv	廉明公正
lmht	冷麪寒鐵
lmhy	楞眉橫眼
lmjd	連甍接棟
lmju	龍馬精神
lmlg	來沒來過
lmll	粒米狼戾
lmlv	老邁龍鍾\t老馬戀棧
lmly	冷眉冷眼\t連明連夜
lmml	魯莽滅裂
lmnm	立木南門
lmny	羅馬尼亞
lmqf	連綿起伏\t驢鳴犬吠
lmqs	溜門撬鎖
lmuc	勞民傷財
lmsd	兩面三刀
lmuh	龍鳴獅吼
lmum	朗目疏眉
lmus	老謀深算
lmut	老馬識途
lmux	粒米束薪
lmtv	爛漫天真\t爛熳天真
lmvy	浪漫主義
lmwf	雷鳴瓦釜
lmwq	冷漠無情
lmwy	立馬萬言
lmxj	梁孟相敬
lmyj	臨門一腳
lmym	六馬仰秣
lmzu	攬名責實
lnbj	臨難不懼
lnbl	流年不利
lnid	老年癡呆
lndz	老年得子
lngd	力能扛鼎
lngm	臨難苟免
lnpi	老牛破車
lnud	老牛舐犢
lnug	量能授官
lnsu	流年似水
lnwy	魯難未已
lnxj	犁牛騂角
lnvb	臨難鑄兵
lnzv	冷暖自知
lnvz	犁牛之子
lpbj	落魄不羈
lpij	漏脯充飢
lpiq	攬轡澄清
lpdi	攬轡登車
lpdd	老羆當道
lpdj	老婆當軍
lpev	聯翩而至
lpfb	鸞飄鳳泊
lpfy	龍蟠鳳逸
lphj	龍盤虎踞\t龍蟠虎踞
lpjl	憐貧敬老
lplc	連篇累冊
lpld	連篇累牘\t連篇絫牘\t聯篇累牘
lplf	連篇絫幅\t連篇累幅
lply	廉頗老矣
lplv	連篇累幀\t連篇累帙
lpvy	力排衆議\t攬轡中原
lpxj	另闢蹊徑
lpxl	憐貧惜老\t憐貧恤老
lqbg	屢勸不改
lqbr	六親不認
lqbs	零七八碎
lqbw	鹿裘不完
lqbx	離情別緒
lqbz	亂七八糟
lqbv	臉青鼻腫
lqcc	來去匆匆
lqih	料峭春寒
lqcq	理屈詞窮
lqcu	了卻殘生
lqdv	六七點鐘
lqdw	兩棲動物
lqfm	來去分明
lqgg	離奇古怪
lqgm	另請高明
lqgr	六七個人
lqgy	六七個月
lqhh	狼前虎後
lqhq	老氣橫秋
lqhu	煉氣化神
lqjd	連牆接棟
lqjg	勞其筋骨
lqjq	力屈計窮
lqju	羅雀掘鼠
lqlm	連阡累陌
lqlz	另起爐竈
lqmh	驢前馬後
lqnh	攬權納賄
lqqm	兩全其美
lqqy	郎情妾意\t來情去意
lqrf	來去如風
lqru	廉泉讓水
lqsd	零敲碎打
lqsj	離羣索居
lqus	六七十歲
lqsy	亂瓊碎玉
lqtx	理清頭緒
lqwk	六親無靠
lqwq	樂趣無窮
lqwz	來去無蹤
lqxy	兩情相悅
lqyf	六七月份
lqzm	良禽擇木
lqvr	黎丘丈人
lqzy	來去自由
lraw	令人安慰
lrba	令人不安
lrbc	老弱病殘
lrbi	令人不齒
lrbg	凌弱暴寡
lrbj	令人不解
lrbk	令人不快
lrbq	斂容屏氣
lrbu	冷若冰霜\t凜若冰霜
lrcb	老弱殘兵
lrij	令人喫驚
lril	令人齒冷
lrim	令人瞠目
lriq	利刃出鞘
lriw	連衽成帷
lrix	寥若晨星
lrdk	烈日當空
lrdn	來日大難
lrdr	令人動容\t立人達人
lrdx	令人擔心
lrdy	令人擔憂\t連日帶夜
lrew	令人扼腕
lrfi	來日方長
lrfg	令人反感
lrfh	浪蕊浮花
lrfj	令人費解
lrfk	令人憤慨
lrfv	令人髮指
lrgg	令人尷尬
lrgk	令人感慨
lrgw	令人鼓舞
lrgx	令人高興
lrhp	令人害怕
lrhw	令人回味
lrhy	令人懷疑
lrja	令人驕傲
lrjd	令人激動
lrjj	令人叫絕
lrjp	令人敬佩
lrjt	令人驚歎
lrjv	路人皆知
lrjw	令人敬畏
lrjx	令人驚喜
lrjy	令人驚訝\t連日繼夜
lrkj	歷日曠久
lrlj	利人利己
lrly	連日連夜
lrmc	令人莫測
lrmq	利惹名牽
lrmx	令人目眩
lrmy	令人滿意
lrng	令人難過
lrnk	令人難堪
lrnw	令人難忘
lrpf	令人噴飯
lrpj	爛若披錦
lrpv	爛若披掌
lrqd	令人期待\t淚如泉滴
lrqj	令人起敬
lrqp	令人欽佩
lrqy	淚如泉湧
lrsf	禮讓三分
lruj	爛若舒錦
lrus	令人深思
lrst	冷熱酸甜
lruw	令人神往
lruy	令人生厭
lrtf	令人歎服
lrtt	令人頭疼
lrtx	令人痛心
lrty	令人討厭
lrvf	令人振奮
lrvj	令人震驚
lrvm	令人矚目\t掠人之美
lrvv	瞭如指掌\t爛如指掌
lrwi	量入爲出
lrwg	禮讓爲國
lrxi	寥若星辰
lrxf	令人信服
lrxh	令人心寒
lrxj	令人心悸
lrxm	令人羨慕
lrxt	令人心痛
lrxv	令人心折
lrxw	令人嚮往
lrxx	令人遐想
lryh	落日餘暉
lryw	令人厭惡
lryx	淚如雨下\t瞭然於胸
lryy	烈日炎炎
lrzm	冷熱自明
lrzo	令人作嘔
lrzu	令人咋舌
lrzt	令人讚歎
luau	樂山愛水
luba	六神不安
lsbd	力所不逮
lubd	卵石不敵
lubf	流水不腐
lubj	老實巴交\t樂善不倦
lsbj	力所不及
lubq	斂聲屏氣
lsbq	斂色屏氣
lsbr	理所不容\t理所必然
lubu	屢試不爽
lsbs	連三併四
lubt	煉石補天
lupx	斂聲屏息
lsby	離死不遠
lscb	臉色蒼白
luch	辣手摧花
luil	綠水長流
luiq	呂氏春秋
lsis	拉三扯四
luiu	立身處世
luit	老生常談
luiy	綠樹成蔭\t裂石穿雲
lucy	糲食粗衣
luiz	流水朝宗
ludb	斂手待斃
ludh	礪山帶河\t離山調虎
ludm	了身達命
lsdr	理所當然
ludu	離世遁上
lsdv	兩三點鐘
ludx	兩鼠鬥穴
ludv	量身定製\t勞師動衆
luej	臨事而懼
lsfc	露宿風餐
lufd	龍蛇飛動
lsfv	兩三分鐘
lsfy	連鎖反應
lugj	老鼠過街
lsgr	兩三個人
lsgv	兩三個鍾
lsgy	兩三個月
lsgz	兩三個字
lugz	牢什古子
lshb	綠色環保
luhj	六十花甲
luhu	樂善好施
luhs	利深禍速
lshy	狼飧虎嚥
luhy	樂善好義
luhz	龍蛇混雜
lujb	履霜堅冰\t冷水澆背
lsje	連三接二
lsjh	兩三句話
lsjk	累蘇積塊
lujr	亂世佳人
lujs	勞身焦思\t離世絕俗
lsjs	連三接四
lujt	冷水澆頭
lujw	利時及物
lsjw	連三接五
lujv	老少皆知
lujz	樑上君子\t龍生九子
lukk	兩手空空
lskw	連三跨五
lulb	臨深履薄
lslh	累死累活
lulh	流水落花
lulj	楞手楞腳
lsls	勞斯萊斯
lulu	樂山樂水
lumd	厲世摩鈍\t歷世摩鈍\t歷世磨鈍\t礪世摩鈍\t礪世磨鈍
lsmf	牢騷滿腹
lsmj	利鎖名繮
lumn	烈士暮年
lumx	勞師糜餉
lund	六十年代
lsnj	力所能及
lunj	禮奢寧儉\t斂聲匿跡
lunx	凌上虐下
luph	連山排海
lupz	斂手屏足
luqg	樂事勸功
lsql	綠蓑青笠
luqu	綠水青山
luqy	臨時起意
lsrd	老僧入定
lurq	禮順人情
luru	料事如神
lusb	利市三倍
luuj	離蔬釋屩\t離蔬釋蹻
lusk	立時三刻
lsuu	鹿死誰手
lstd	綠色通道
luth	流水桃花
lutt	黎庶塗炭
lsvw	綠色植物
lswb	臉色微變
luwg	濫殺無辜
luwl	禮尚往來
luwq	流水無情
luwr	兩世爲人
luwv	六神無主
luxj	歷史學家\t犁生騂角\t立身行己
luxr	老師宿儒
lsxu	兩三小時
luxx	來勢洶洶
luxy	老少咸宜\t勞師襲遠
luyi	略勝一籌\t聊勝一籌
lsyd	理所應當
luyg	歷史沿革
luym	立身揚名
luys	離世異俗
luyw	聊勝於無
luyx	爛熟於心\t亂世英雄
lsyy	勞思逸淫
luyy	良師益友
luyv	勞師遠征
luvb	兩手準備
luvd	亂世重典
luvj	履霜之戒
luvw	略識之無
luzy	流水作業
luzz	老神在在
luvv	靈蛇之珠
ltam	樂天安命
ltap	樂退安貧
ltbd	老天拔地
ltbj	落拓不羈
ltbm	兩頭白面
ltbx	來頭不小
ltby	藍天白雲
ltcf	亂頭粗服
ltcy	量體裁衣
ltiv	狼突鴟張
ltdb	臨潼鬥寶
ltdd	擂天倒地
ltdn	連頭帶腦\t楞頭呆腦
ltdp	聊天打屁
ltdu	連湯帶水
ltdw	連頭帶尾
ltfh	連天烽火
ltfj	列土封疆
ltfm	裂土分茅
ltgl	摟頭蓋臉
ltgs	樓堂館所
lthc	狼吞虎餐
lthk	龍潭虎窟
lthu	狼貪虎視\t狼吞虎噬
lthw	龍跳虎臥
lthx	龍潭虎穴
lthy	狼吞虎嚥\t龍騰虎躍
ltju	累土聚沙
ltjx	蘭亭集序
ltkn	楞頭磕腦
ltlh	亂塗亂畫
ltln	愣頭愣腦\t楞頭楞腦
ltlv	老態龍鍾
ltly	流通領域
ltpx	落湯螃蟹
ltqd	流通渠道
ltrm	樂天任命
ltuc	狼突豕竄
ltsl	六韜三略\t犁庭掃閭
ltuq	狼貪鼠竊
ltuw	兩天曬網
ltsx	犁庭掃穴
ltuy	藍田生玉
lttg	樓臺亭閣
ltvb	力透紙背
ltvm	樂天知命
ltvn	雷霆之怒
ltwg	裏通外國
ltwj	雷霆萬鈞
ltwl	離題萬里
ltwy	拉脫維亞
ltxy	里談巷議
ltyj	雷霆一擊
ltyl	雷霆雨露
ltyy	老天有眼
ltzd	連天匝地
ltvj	立談之間
ltvu	累土至山
lvbj	來者不拒
lvbu	來者不善
lvby	來之不易\t連枝比翼
lvdj	溜之大吉
lvdy	連枝帶葉\t洛鐘東應
lvhd	龍爭虎鬥
lvjz	履職盡責
lvkv	來者可追
lvlb	屢戰屢敗
lvlu	屢戰屢勝
lvmq	臨陣磨槍
lvqu	亂中取勝
lvqv	理直氣壯
lvsy	連中三元
lvts	臨陣退縮
lvtt	臨陣脫逃
lvvd	立錐之地
lvvn	籠中之鳥
lvvy	聊齋志異
lwal	樂往哀來
lwbd	禮無不答
lwbh	臨文不諱
lwbj	臨危不懼\t覽聞辯見
lwbl	臨危不亂
lwij	累屋重架
lwjg	裏外夾攻
lwju	累瓦結繩
lwjy	了無懼意
lwkl	力挽狂瀾
lwln	廉頑立懦
lwlq	憐我憐卿
lwmg	老王賣瓜
lwmq	利綰名牽
lwqg	了無牽掛
lwqm	禮爲情貌
lwrs	臉無人色
lwum	臨危受命\t臨危授命
lwuq	了無生趣
lwsy	老無所依
lwvy	漏網之魚
lwxb	淪爲笑柄
lwvm	臨危致命
lxbd	連續不斷
lxbj	離鄉背井\t離鄉別井\t力學不倦
lxbk	老朽不堪
lxbt	離鄉背土\t離鄉別土
lxbz	略顯不足
lxcg	柳絮才高
lxig	漏泄春光
lxck	拉朽摧枯
lxin	老羞成怒
lxiu	例行差事\t連宵徹曙
lxdd	連消帶打\t連宵達旦
lxdh	聯繫電話
lxdp	陋巷簞瓢
lxdw	冷血動物
lxdx	力學篤行
lxfb	離析分崩
lxff	林下風範
lxfj	鸞翔鳳集
lxfq	林下風氣
lxfu	聯繫方式
lxfv	鸞翔鳳翥
lxgf	狼心狗肺\t蘭薰桂馥\t驢心狗肺\t蘭燻桂馥
lxgq	流行歌曲
lxgu	例行公事
lxgt	李下瓜田
lxgx	狼心狗行
lxgy	流星趕月
lxhb	龍行虎步\t龍驤虎步\t離析渙奔
lxhd	煉虛合道
lxhu	龍驤虎視
lxhv	蘭心蕙質
lxhx	蘭心蕙性
lxjc	履舄交錯
lxjs	勞心焦思
lxjv	令行禁止
lxjy	厲行節約\t柳下借陰
lxkg	鏤心刻骨
lxks	勞心苦思
lxkx	勞形苦心\t瀝血叩心
lxkv	流行坎止
lxli	連下兩城
lxld	離心離德
lxll	勞心勞力
lxlm	冷心冷面
lxlw	量小力微
lxlx	聯繫聯繫
lxpd	零星片段
lxpg	瀝血披肝
lxpm	溜鬚拍馬
lxpx	瀝血披心
lxqf	兩袖清風
lxqh	利析秋毫
lxqj	憐新棄舊
lxqy	兩廂情願\t兩相情願
lxru	理性認識
lxry	履險如夷\t淚下如雨
lxrv	力小任重
lxsm	拉閒散悶
lxst	郎心似鐵
lxtv	另行通知
lxvd	理想中的
lxvy	理想主義\t縲紲之憂
lxwc	兩小無猜
lxwj	戀新忘舊
lxwm	落下帷幕
lxwn	老朽無能
lxxh	良性循環\t龍血玄黃
lxxu	禮賢下士
lxxy	憐香惜玉
lxyi	略遜一籌
lxyf	禮先一飯\t禮先壹飯
lxyh	落霞餘暉
lxyj	樂新厭舊\t憐新厭舊
lxyr	禮下於人
lxyw	樂行憂違
lxzb	離弦走板
lyab	立業安邦
lyaj	樂業安居
lybd	力有不逮
lybf	落英繽紛
lybh	禮樂崩壞
lybj	駱驛不絕\t絡繹不絕
lybq	良莠不齊\t稂莠不齊
lybr	冷語冰人
lybx	連輿並席
lycc	來也匆匆
lyce	賴有此耳
lyiu	濫竽充數
lycy	鏤月裁雲
lyiy	綠葉成陰
lydh	魯魚帝虎\t狼煙大話
lydz	梨園弟子
lyew	略有耳聞
lyfd	亂雲飛渡
lyff	勞燕分飛
lyfg	兩眼放光
lyfh	龍吟鳳噦
lyfm	另一方面\t龍躍鳳鳴
lyfu	六月飛霜
lyfv	兩眼發直
lyfx	六月飛雪
lyfy	流言蜚語\t綸音佛語
lygg	落葉歸根
lygj	羚羊掛角
lygr	另一個人
lyhi	烈焰紅脣
lyhh	老眼昏花
lyhl	綠衣黃裏
lyhu	另一回事\t利用厚生\t魯魚亥豕
lyhx	龍吟虎嘯
lyhv	流言惑衆
lyji	聊以解嘲
lyjh	勞逸結合
lyjk	冷眼靜看
lyjn	累月經年
lyjt	潦原浸天
lyjv	利用價值
lyjx	連輿接席
lykd	另眼看待
lykk	良藥苦口
lyli	禮義廉恥\t伶牙俐齒
lylh	燎原烈火
lyly	冷言冷語
lymh	礪嶽盟河
lyml	淚眼朦朧
lynj	老嫗能解
lypg	冷眼旁觀
lyqf	朗月清風
lyqg	來因去果
lyql	閬苑瓊樓
lyqm	斂怨求媚
lyqr	另有其人
lyqs	來迎去送
lyqt	另有企圖
lyrc	理應如此
lyry	冷言熱語
lyuc	賴以生存
lyud	卵與石鬥
lyug	老於世故
lysl	老有所樂
lyum	狼眼鼠眉
lysq	狼煙四起
lyst	另有所圖
lysv	另有所指\t老有所終
lysw	老有所爲
lysy	老有所依
lysz	聊以塞責
lyuv	綠衣使者
lytg	廉遠堂高
lytu	螻蟻貪生
lyts	狼羊同飼
lytx	斂影逃形
lyvb	禮儀之邦
lyvq	落葉知秋\t濫用職權
lyvr	樂於助人
lyvz	牢獄之災
lywd	力有未逮
lywh	裏應外合
lywl	落月屋梁
lywu	賴以爲生
lyww	淚眼汪汪
lywy	樂以忘憂
lywv	詈夷爲蹠
lyxd	冷眼相待
lyxg	蘭因絮果
lyxk	另眼相看
lyxu	流於形式
lyxx	利慾薰心
lyxy	臨淵羨魚
lyyd	留有餘地
lyyj	櫟陽雨金
lyym	兩葉掩目
lyyq	另有隱情
lyzd	梨園子弟
lyvf	理冤摘伏
lyvg	洛陽紙貴
lyzs	聊以卒歲
lyzw	聊以自慰
lyzy	聊以自娛
lyvv	凌雲之志
lvbq	戀棧不去
lvbt	連枝並頭
lvbx	連州比縣
lzib	累足成步
lzip	麗藻春葩
lviu	蘭芝常生
lvix	麟趾呈祥
lvcv	理正詞直
lvdr	理之當然
lvfy	連枝分葉
lvfz	龍章鳳姿
lvgk	蠡酌管窺
lvgx	羅織構陷
lvgv	連枝共冢
lvhb	連珠合璧
lzhf	路在何方
lzht	浪子回頭
lvhx	蘭質蕙心
lvhy	溜之乎也
lvjj	勵志竭精\t例直禁簡\t連戰皆捷
lzjn	留作紀念
lvju	來者居上
lvjv	老之將至
lvkj	連州跨郡
lvld	連章累牘\t連帙累牘
lzlh	利災樂禍
lvln	良知良能
lzls	龍子龍孫
lzlz	列祖列宗
lzmy	凌雜米鹽
lvnm	漏卮難滿
lzpb	論資排輩
lzqj	來蹤去跡
lzql	來蹤去路
lzqq	利在千秋
lzqv	樂在其中
lzrn	爛醉如泥
lzst	鹿走蘇臺
lzux	狼子獸心
lvuy	力爭上游
lvtq	連枝同氣
lzty	另作他用
lzvd	立足之地
lzwj	立字爲據
lvwj	來者勿拒
lzww	立足未穩
lvxx	蘭質燻心\t蘭質薰心
lzyb	晾在一邊
lzyt	亂作一團
lzyx	狼子野心
lzzd	亂糟糟的
lvvu	蘭芷之室
lzzx	浪子宰相
magt	民安國泰
mawf	民安物阜
mbbn	姆巴巴內
mbbr	麻痹不仁\t麻痺不仁
mbbu	目不別視
mbiy	莫辨楮葉
mbdy	麻痹大意
mbfu	名不副實\t名不符實
mbgl	忙不過來
mbgr	面不改容
mbgu	面壁功深\t目不給賞\t目不苟視
mbgs	面不改色
mbgx	漠不關心
mbhf	目別匯分
mbhk	罵不還口
mbja	馬不解鞍
mbjj	目不交睫\t目不見睫
mbjk	罵不絕口
mbjl	蠻不講理
mbjr	貌不驚人
mbjx	漫不經心
mbjy	命不久矣\t謾不經意\t漫不加意\t漫不經意
mbkf	密不可分
mbkm	民不堪命
mbky	妙不可言\t目不窺園
mbld	免不了的\t明白了當
mblu	民不聊生
mbmb	明不明白
mbmn	面北眉南
mbmv	面壁磨磚
mbns	馬勃牛溲\t馬浡牛溲
mbqu	名標青史
mbqv	漫步其中
mbrd	目不忍睹
mbud	目不識丁
mbuf	明辨是非
mbsg	面壁思過
mbuh	妙筆生花\t夢筆生花
mbur	祕不示人
mbuu	美不勝收
mbuy	木本水源
mbtb	門不停賓
mbtf	密不透風\t密不通風
mbtt	馬不停蹄
mbvb	命比紙薄
mbvj	目不轉睛
mbvl	綿薄之力
mbvw	木本植物
mbws	民不畏死
mbww	明白無誤
mbwy	民胞物與
mbxi	名不虛傳
mbxd	名不虛得
mbxg	漠不相關
mbxj	目不暇接
mbxl	抹不下臉\t名不虛立
mbxu	目不斜視\t目不邪視
mbyi	靡不有初
mbyg	門不夜關
mbyj	門不夜扃
mbyq	命薄緣慳
mbyx	民保於信
mbzd	渺不足道
mbzh	滿不在乎
mbzj	忙不擇價
mbzu	默不作聲
mbzy	滿不在意
