he	他\t氦
overwind	過卷
overwork	過勞
overworked	過勞
overworking	過勞
overworks	過勞
overwrap	外包裝
overwrite	覆蓋
overwrites	覆蓋
overwriting	覆蓋
overwritten	覆蓋
overzealous	過度熱心
ovid	奧維德
oviduct	輸卵管
oviform	卵形
ovine	綿羊的
oviparous	卵生的
ovipary	卵生
oviposit	產卵
ovoid	卵形的
ovr	虛擬現實
ovulate	排卵
ovum	卵子
ow	哎喲
owe	欠
owed	欠的
owen	歐文
owens	歐文斯
owes	欠
owing	由於
owl	貓頭鷹
owlet	小貓頭鷹
owlish	像貓頭鷹的
owls	貓頭鷹
own	自己的
owned	擁有的
owner	所有者
owners	所有者
ownership	所有權
ownerships	所有權
owning	擁有
owns	擁有
ox	牛
oxalic	草酸
oxalis	酢漿草
oxblood	牛血色
oxc	牛津大學
oxcart	牛車
oxen	牛羣
oxeye	牛眼菊
oxford	牛津
oxfordshire	牛津郡
oxheart	牛心形
oxhide	牛皮
oxidant	氧化劑
oxidation	氧化
oxide	氧化物
oxides	氧化物
oxidise	氧化
oxidiser	氧化劑
oxidizable	可氧化的
oxidize	氧化
oxidized	氧化的
oxidizer	氧化劑
oxley	奧克斯利
oxlip	牛脣花
oxnard	奧克斯納德
oxonian	牛津人
oxtail	牛尾
oxter	腋下
oxyacetylene	氧乙炔
oxygen	氧氣
oxygen o	氧氣
oxygenation	氧合
oxygenous	含氧
oxyhydrogen	氫氧
oxymoron	矛盾修辭
oxytone	重音詞
oyer	聽審
oyster	牡蠣
oystercatcher	蠣鷸
oysters	牡蠣
oz	盎司
oz	奧茲
ozark	奧扎克
ozarks	奧扎克
ozon	臭氧
ozone	臭氧
ozonic	臭氧的
ozoniferous	含臭氧的
ozonise	臭氧處理
ozoniser	臭氧發生器
ozonize	臭氧處理
ozonizer	臭氧發生器
ozonosphere	臭氧層
ozzie	奧齊
pn	個性化
personalization	個性化
pp	點對點
platform as a service	平臺即服務
paas	平臺即服務
pablo	巴勃羅
pabst	帕布斯特
pabulum	精神食糧
pac	政治行動委員會
pace	步速
paced	步調
pacemaker	起搏器
pacemaking	定步調
pacer	領跑者
pacers	領跑者
paces	步調
pachisi	印度十字戲
pachyderm	厚皮動物
pachydermatous	厚皮的
pachyrhizus	豆薯
pacifiable	可安撫的
pacific	太平洋
pacifically	和平地
pacification	平定
pacified	安撫
pacifier	安撫奶嘴
pacifies	安撫
pacifism	和平主義
pacifist	和平主義者
pacifistic	和平主義的
pacify	安撫
pacing	步調
pack	包
package	包裹
packaged	包裝好的
packager	包裝者
packagers	包裝者
packages	包裹
packaging	包裝
packagings	包裝
packard	帕卡德
packards	帕卡德
packed	已打包
packer	打包工
packers	打包工
packet	數據包
packets	數據包
packhorse	馱馬
packing	填充
packman	小販
packs	包裹
packsaddle	馱鞍
packtrain	馱隊
packwood	帕克伍德
pacman	喫豆人
pac-man	喫豆人
pact	協議
pacts	協議
pad	墊
padded	加墊的
padding	填充物
paddle	槳
paddock	圍場
paddy	稻田
padishah	帕迪沙
padlock	掛鎖
padre	神父
padres	神父
pads	墊子
paean	讚歌
paediatrician	兒科醫生
pagan	異教徒
pagandom	異教世界
paganini	帕格尼尼
paganise	使異教化
paganish	異教似的
paganism	異教信仰
paganize	使異教化
pagans	異教徒
page	頁
pageant	盛典
pageantry	盛況
pageants	盛典
pageboy	男童僕
paged	已分頁
pager	尋呼機
pagerank	網頁排名
pagers	尋呼機
pages	頁
pagina	頁
paginal	頁的
paginate	編頁碼
paginated	已編頁碼
paginates	編頁碼
paginating	正在編頁碼
pagination	分頁
paging	分頁
pagoda	寶塔
paid	已付
paige	佩奇
pail	桶
pailful	滿桶
paillette	亮片
pails	桶
pain	疼痛
paine	潘恩
pained	痛苦的
painful	痛苦的
painfully	痛苦地
painfulness	痛苦
painless	無痛的
pains	痛苦
painstaking	費心的
painstakingly	費心地
paint	油漆
paintball	彩彈
paintbrush	畫筆
paintcode	繪畫代碼
painted	已塗
painter	畫家
painters	畫家
painting	繪畫
paintings	畫作
paints	油漆
painty	油漆的
pair	一對
paired	配對的
pairing	配對
pairings	配對
pairs	對
pairwise	成對
pais	帕伊斯
pajama	睡衣
pajamas	睡衣
pak	巴基斯坦
pakistan	巴基斯坦
pakistani	巴基斯坦的
pakistanis	巴基斯坦人
pal	朋友
palace	宮殿
palaces	宮殿
paladin	聖騎士
palaestra	角力學校
palatable	可口的
palatal	齶的
palate	上顎
palates	上顎
palatial	宏偉的
palatine	帕拉蒂尼
palatogram	齶位圖
palau	帕勞
palaver	空談
pale	蒼白
paled	變蒼白
paleface	白臉人
palely	蒼白地
paleness	蒼白
paleocene	古新世
paleoecologist	古生態學家
paleographer	古文字學家
paleographic	古文字的
paleography	古文字學
paleolithic	舊石器時代
paleontologist	古生物學家
paleontology	古生物學
paleozoic	古生代
paler	更蒼白
palermo	巴勒莫
pales	變蒼白
palest	最蒼白
palestine	巴勒斯坦
palestinian	巴勒斯坦的
palestinians	巴勒斯坦人
palestra	角力場
palette	調色板
palfrey	乘用馬
palimpsest	重寫本
palindrome	迴文
palindromic	迴文的
paling	柵欄
palingenetic	再生的
palinode	翻案詩
palisade	柵欄
palisades	峭壁
palish	略蒼白的
pall	棺罩
palladian	帕拉第奧式
palladium	鈀
pallbearer	抬棺人
pallet	托盤
palliate	緩解
palliation	緩解
palliative	姑息劑
pallid	蒼白的
pallium	大腦皮層
pallor	蒼白
pally	友好的
palm	手掌
palma	棕櫚
palmate	掌狀的
palmed	藏於掌中
palmer	朝聖者
palmerworm	尺蠖
palmetto	矮棕櫚
palming	藏於掌中
palmist	手相師
palmistry	手相術
palmitic	棕櫚酸的
palmolive	棕欖
palms	手掌
palmy	繁榮的
palmyra	巴爾米拉
palo	帕洛
palomar	帕洛馬
palomino	帕洛米諾馬
palooka	笨拙的人
palp	觸鬚
palpability	可觸知
palpable	明顯的
palpate	觸摸
palpebral	眼瞼的
palpitant	悸動的
palpitate	悸動
palpitation	心悸
palpus	觸鬚
pals	朋友
palsied	癱瘓的
palsy	癱瘓
palter	含糊其辭
paltrily	微不足道地
paltriness	微不足道
paltry	微不足道
palworld	帕爾世界
pam	寵
pam	帕姆
pamela	帕梅拉
pampa	潘帕
pampas	潘帕斯
pamper	縱容
pamphlet	小冊子
pamphleteer	小冊子作者
pamphlets	小冊子
pan	平底鍋
panacea	萬能藥
panaceas	萬能藥
panache	瀟灑
panama	巴拿馬
panamanian	巴拿馬人
panamera	帕納梅拉
panasonic	松下
panatella	帕納特拉
pancake	煎餅
pancakes	煎餅
pancakeswap	薄餅交換
pancho	潘喬
panchromatic	全色的
pancreas	胰腺
pancreatic	胰腺的
panda	熊貓
pandanus	露兜樹
pandas	熊貓
pandemic	大流行病
pandemonium	大混亂
pander	迎合
pandit	潘迪特
pandoc	潘多克
pandora	潘多拉
pandowdy	潘道迪
pane	窗格
paned	有窗格的
panegyric	頌詞
panegyrise	頌揚
panegyrist	頌揚者
panegyrize	頌揚
panel	面板
paneled	有面板的
paneling	鑲板
panelist	小組成員
panelists	小組成員
panels	面板
panes	窗格
panews	派新聞
panfry	煎
pang	劇痛
panga	砍刀
pangaea	盤古大陸
pangolin	穿山甲
pangs	劇痛
panhandle	乞討
panhandler	乞丐
panic	恐慌
panicked	驚慌的
panicking	驚慌的
panicky	恐慌的
panicle	圓錐花序
panics	恐慌
paniculate	圓錐花序的
panjandrum	大人物
pannage	放豬權
panned	批評的
pannier	馱籃
pannikin	小鍋
panning	淘洗
panocha	紅糖
panoply	全副武裝
panorama	全景
panoramic	全景
panpipe	排簫
pans	平底鍋
pansies	三色堇
pansy	三色堇
pant	喘氣
pantaloon	馬褲
panted	喘氣
pantheism	泛神論
pantheist	泛神論者
pantheon	萬神殿
panther	黑豹
panthers	黑豹
pantie	內褲
panties	內褲
panting	喘氣
pantomime	啞劇
pantomimic	啞劇的
pantomimist	啞劇演員
pantries	食品儲藏室
pantry	食品儲藏室
pants	褲子
pantsuit	褲裝
panty	內褲
pantyhose	連褲襪
panzer	裝甲車
paoli	保利
paolo	保羅
pap	糊狀物
papa	爸爸
papacy	教皇
papal	教皇的
papaverous	罌粟的
papaya	木瓜
paper	紙
paperback	平裝本
paperbacks	平裝本
paperboard	紙板
paperbound	平裝本
papered	貼紙的
paperer	裱糊工
paperers	裱糊工
paperhanger	裱糊工
paperhanging	裱糊
papering	裱糊
paperings	裱糊
papermod	紙模
papers	文件
paperweight	鎮紙
paperwork	文書工作
papery	紙狀的
papilla	乳頭
papillon	蝴蝶犬
papist	天主教徒
papistry	天主教
papoose	嬰兒
pappas	帕帕斯
pappy	爸爸的
paprika	辣椒粉
papua	巴布亞
papuan	巴布亞人
papula	丘疹
papute	帕普特
papyraceous	紙質的
papyrus	紙莎草
par	標準
para	輔助
parable	寓言
parabola	拋物線
parabolic	拋物線的
paraboloid	拋物面
paraboloidal	拋物面的
parachute	降落傘
parachuted	空降
parachutes	降落傘
parachutist	跳傘者
parade	遊行
paraded	遊行
parader	遊行者
parades	遊行
paradigm	範例
paradigmatic	範例的
paradigms	範例
parading	遊行
paradise	天堂
parados	背牆
paradox	悖論
paradoxes	悖論
paradoxical	矛盾的
paradoxically	矛盾地
paradrop	空投
paraffin	石蠟
paragon	典範
paragons	典範
paragraph	段落
paragraphing	分段
paragraphs	段落
paraguay	巴拉圭
paraguayan	巴拉圭的
paraguayans	巴拉圭人
parakeet	鸚鵡
paralegal	律師助理
parallax	視差
parallel	平行
parallel lines	平行線
paralleled	平行
paralleling	平行
parallelism	平行性
parallelize	並行化
parallelized	並行化
parallelizes	並行化
parallelizing	並行化
parallelogram	平行四邊形
parallelograms	平行四邊形
parallels	平行線
parallels desktop	虛擬機軟件
paralyse	癱瘓
paralysis	癱瘓
paralytic	癱瘓的
paralyze	癱瘓
paralyzed	癱瘓
paralyzes	癱瘓
paralyzing	癱瘓的
param	參數
paramecium	草履蟲
paramedic	急救員
parameter	參數
parameterizable	可參數化的
parameterization	參數化
parameterizations	參數化
parameterize	參數化
parameterized	參數化的
parameterizes	參數化
parameterizing	參數化
parameterless	無參數的
parameters	參數
parametric	參數的
parametrized	參數化的
paramilitary	準軍事的
paramount	至高無上的
paramountcy	至高無上
paramour	情人
paramus	帕拉默斯
paranoia	偏執狂
paranoiac	偏執狂患者
paranoid	偏執的
paranormal	超自然的
parapet	護牆
parapets	護牆
paraphernalia	隨身物品
paraphrase	釋義
paraphrased	釋義的
paraphrases	釋義
paraphrasing	釋義
paraphrastic	釋義的
paraplegia	截癱
paraplegic	截癱者
paraprofessional	輔助人員
parapsychology	超心理學
parasang	帕拉桑
parasite	寄生蟲
parasites	寄生蟲
parasitic	寄生的
parasiticide	殺寄生蟲劑
parasitics	寄生現象
parasitis	寄生
parasitism	寄生現象
parasitology	寄生蟲學
parasol	陽傘
parasynthesis	複合派生
parataxis	並列結構
parathyroid	甲狀旁腺
paratroop	傘兵部隊
paratrooper	傘兵
paratyphoid	副傷寒
paravane	掃雷器
parboil	煮半熟
parc	帕克
parcel	包裹
parceled	包裹的
parceling	分配
parcels	包裹
parch	烤乾
parched	乾渴的
parching	烘烤
parchment	羊皮紙
pard	夥伴
pardon	原諒
pardonable	可原諒的
pardonably	可原諒地
pardoned	被原諒的
pardoner	赦罪者
pardoners	赦罪者
pardoning	原諒
pardons	原諒
pare	削皮
paregoric	止痛劑
parent	父母
parentage	出身
parental	父母的
parentheses	括號
parenthesis	括號
parenthesise	插入括號
parenthesize	插入括號
parenthesized	插入括號的
parenthesizes	插入括號
parenthesizing	插入括號
parenthetic	插入的
parenthetical	插入的
parenthetically	插入地
parenthood	父母身份
parenting	育兒
parents	父母
parergon	副業
pares	削減
paresis	癱瘓
paretic	癱瘓的
pareto	帕累託
parfait	凍糕
parget	抹灰
pariah	賤民
parietal	頂骨的
parimutuel	賭金計算器
paring	削皮
parings	削下的皮
paris	巴黎
parish	教區
parishes	教區
parishioner	教區居民
parisian	巴黎的
parisianization	巴黎化
parisianizations	巴黎化
parisianize	使巴黎化
parisianizes	使巴黎化
parity	平等
park	公園
parka	派克大衣
parke	帕克
parked	停放的
parker	停車者
parkers	帕克
parkersburg	帕克斯堡
parkhouse	帕克豪斯
parking	停車
parkinson	帕金森
parkinsonian	帕金森症
parkinsonism	帕金森病
parkland	公園用地
parklike	似公園的
parks	帕克斯
parkway	林蔭道
parky	寒冷的
parlance	說法
parlay	連本帶利
parley	談判
parliament	議會
parliamentarian	議員
parliamentary	議會的
parliaments	議會
parlor	客廳
parlors	客廳
parlour	客廳
parlous	危險的
parmesan	帕爾馬乾酪
parochial	狹隘的
parodist	模仿者
parody	模仿
parol	口頭
parole	假釋
paroled	假釋
paroles	假釋
paroling	假釋
paronym	同源詞
paroxysm	發作
paroxysmal	陣發性
paroxytone	重音詞
parquet	鑲木地板
parquetry	鑲木工藝
parr	帕爾
parricidal	弒親的
parricide	弒親罪
parried	擋開
parrish	帕裏什
parrot	鸚鵡
parroting	模仿
parrots	鸚鵡
parrs	帕爾斯
parry	擋開
pars	部分
parse	解析
parsec	秒差距
parsed	已解析
parser	解析器
parsers	解析器
parses	解析
parsi	帕西人
parsifal	帕西法爾
parsimonious	吝嗇的
parsimony	吝嗇
parsing	解析中
parsings	解析
parsley	歐芹
parsnip	歐洲蘿蔔
parson	牧師
parsons	帕森斯
part	部分
part-time	兼職
partake	參與
partaker	參與者
partakes	參與
partaking	參與
parted	分開
parter	夥伴
parters	夥伴
parthenogenesis	單性生殖
parthenogenetic	單性生殖的
parthenon	帕特農神廟
parthia	帕提亞
parthian	帕提亞的
partial	部分的
partiality	偏愛
partially	部分地
partible	可分割的
partical	微粒
participant	參與者
participants	參與者
participate	參與
participated	參與
participates	參與
participating	參與
participation	參與
participator	參與者
participatory	參與式
participial	分詞的
participle	分詞
particle	粒子
particles	粒子
particular	特定
particularise	具體化
particularity	特殊性
particularize	具體化
particularly	特別地
particulars	細節
particulate	微粒
parties	聚會
parting	離別
partings	離別
partisan	黨派支持者
partisans	黨派支持者
partisanship	黨派偏見
partition	分隔
partitioned	分隔的
partitioning	分隔
partitions	分隔
partitive	部分的
partly	部分地
partner	夥伴
partnered	合作的
partnering	合作
partners	夥伴
partnership	合夥
partnerships	合夥
partook	參與
partridge	鷓鴣
partridges	鷓鴣
parts	部件
parturition	分娩
party	派對
party animals	派對動物
parvenu	暴發戶
pas	舞步
pasadena	帕薩迪納
pascal	帕斯卡
paschal	逾越節的
pasha	帕夏
paso	帕索
pasqueflower	白頭翁
pasquinade	諷刺詩
pass	通過
passable	尚可
passage	通道
passages	通道
passageway	過道
passaic	帕塞克
passant	行走的
passbook	存摺
passe	過時的
passed	通過
passel	一批
passenger	乘客
passengers	乘客
passer	過客
passer-by	路人
passerby	路人
passerine	雀形目
passers	過客
passes	通過
passible	可感受的
passing	經過
passingly	短暫地
passion	激情
passionate	熱情的
passionately	熱情地
passionflower	西番蓮
passionless	無激情的
passions	激情
passivate	鈍化
passivation	鈍化
passive	被動的
passively	被動地
passiveness	被動
passivity	被動性
passkey	萬能鑰匙
passover	逾越節
passport	護照
passports	護照
passwall	穿牆
password	密碼
passwords	密碼
past	過去
pasta	意大利麪
paste	粘貼
pasteboard	紙板
pasted	粘貼的
pastel	粉彩
paster	粘貼者
pastern	骹骨
pasternak	帕斯捷爾納克
pastes	粘貼物
pasteur	巴斯德
pasteurise	巴氏消毒
pasteurism	巴氏消毒法
pasteurization	巴氏殺菌
pasteurize	巴氏殺菌
pastil	錠劑
pastime	消遣
pastimes	娛樂活動
pastiness	黏糊
pasting	粘貼過程
pastness	過去性
pastor	牧師
pastoral	牧歌的
pastorale	田園曲
pastoralism	田園主義
pastoralist	田園主義者
pastorally	田園地
pastorate	牧師職位
pastors	牧師
pastorship	牧師身份
pastrami	燻牛肉
pastry	糕點
pastrycook	糕點師
pasts	過去
pasturage	牧場
pasture	牧場
pastures	牧場
pasty	餡餅
pat	輕拍
patagonia	巴塔哥尼亞
patagonians	巴塔哥尼亞人
patch	補丁
patched	修補的
patchery	修補術
patches	補丁
patching	修補
patchwork	拼布
patchy	不勻的
pate	頭頂
patel	帕特爾
patella	膝蓋骨
patellar	膝蓋骨的
paten	聖餐盤
patency	明顯
patent	專利
patentable	可專利的
patented	已專利的
patentee	專利權人
patenter	專利人
patenters	專利人
patenting	專利
patently	明顯
patentor	專利人
patents	專利
pater	父親
paterfamilias	家長
paternal	父親的
paternalism	家長制
paternalistic	家長式的
paternally	父親般地
paternity	父權
paternoster	主禱文
paterson	帕特森
path	路徑
pathetic	可悲的
pathetically	可悲地
pathfinder	探路者
path finder	路徑查找器
pathless	無路的
pathname	路徑名
pathnames	路徑名
pathogen	病原體
pathogenesis	發病機制
pathogenic	致病的
pathogens	病原體
pathogeny	病原學
pathological	病理的
pathologist	病理學家
pathology	病理學
pathos	悲愴
paths	路徑
pathway	途徑
pathways	途徑
patience	耐心
patient	病人
patiently	耐心地
patients	病人
patina	銅綠
patinous	銅綠的
patio	露臺
patisserie	糕點店
patois	方言
patreon	贊助平臺
patriarch	族長
patriarchal	父權的
patriarchic	父權的
patriarchs	族長
patriarchy	父權制
patrice	帕特里斯
patricia	帕特里夏
patrician	貴族
patricians	貴族
patricidal	弒父的
patricide	弒父
patrick	帕特里克
patrilineal	父系的
patrimonial	祖傳的
patrimony	遺產
patriot	愛國者
patriotic	愛國的
patriotism	愛國
patriots	愛國者
patristic	教父的
patrol	巡邏
patrolled	巡邏了
patrolling	巡邏中
patrolman	巡警
patrolmen	巡警
patrols	巡邏隊
patron	贊助人
patronage	贊助
patroness	女贊助人
patronise	光顧
patronising	傲慢的
patronize	光顧
patronized	光顧了
patronizes	光顧
patronizing	傲慢的
patrons	贊助人
patronymic	父名
pats	輕拍
patsies	替罪羊
patsy	替罪羊
patten	木屐
patter	喋喋不休
pattered	喋喋不休了
pattering	喋喋不休中
patterings	喋喋不休
pattern	圖案
patterned	有圖案的
patterning	圖案化
patterns	圖案
patters	輕拍聲
patterson	帕特森
patti	帕蒂
patties	肉餅
patton	巴頓
patty	肉餅
pattypan	小南瓜
patulous	張開的
paucity	缺乏
paul	保羅
paula	保拉
paulette	波萊特
pauli	泡利
pauline	波琳
pauling	鮑林
paulinize	保羅化
paulinizes	保羅化
paulo	保羅
paulsen	保爾森
paulson	保爾森
paulus	保盧斯
paunch	大肚子
paunchy	大腹便便的
pauper	窮人
pauperise	使貧困
pauperization	貧困化
pauperize	使貧困
pause	暫停
paused	暫停
pauses	暫停
pausing	暫停
pave	鋪
paved	鋪好
pavement	路面
pavements	路面
paves	鋪
pavid	膽小的
pavilion	亭子
pavilions	亭子
paving	鋪路
pavlov	巴甫洛夫
pavlova	巴甫洛夫蛋糕
pavlovian	巴甫洛夫式的
pavlovism	巴甫洛夫學說
pavonine	孔雀般的
paw	爪子
pawing	抓撓
pawky	狡猾的
pawl	棘爪
pawn	典當
pawnbroker	當鋪老闆
pawnbroking	典當業
pawnee	波尼族
pawner	典當人
pawns	典當物
pawnshop	當鋪
paws	爪子
pawtucket	波塔基特
pax	乘客
paxil	帕羅西汀
paxlovid	帕克斯洛維德
pay	支付
payable	應付
paybox	付款箱
paycheck	工資
paychecks	工資
payday	發薪日
payed	支付
payee	收款人
payer	付款人
payers	付款人
paying	支付
payload	有效載荷
payment	付款
payments	付款
payne	佩恩
paynes	佩恩
paynim	異教徒
paynize	佩恩化
paynizes	佩恩化
payoff	回報
payoffs	回報
payola	賄賂
payoneer	派安盈
payout	支出
payouts	支出
paypal	貝寶
payroll	工資單
pays	支付
payson	佩森
paz	帕斯
pc	個人電腦
printed circuit board	印刷電路板
pcb	印刷電路板
pcba	電路板組裝
printed circuit board assembly	電路板組裝
pcdn	內容分發網絡
pci	外設互聯
pcie	高速外設互聯
pci express	高速外設互聯
pci express	高速外設互聯
pcmcia	個人電腦存儲卡
pct	百分比
pdf	便攜文檔格式
portable document format	便攜文檔格式
pdf expert	pdf專家
pdfs	pdf文件
pdm	產品數據管理
pe	私募股權
pea	豌豆
peabody	皮博迪
peace	和平
peace & love	和平與愛
peaceable	平和的
peaceful	和平的
peacefully	和平地
peacefulness	平靜
peacemaker	調解人
peacetime	和平時期
peach	桃子
peachblow	桃紅色
peaches	桃子
peachtree	桃樹
peachy	極好的
peacock	孔雀
peacockery	炫耀
peacocks	孔雀
peafowl	孔雀
peahen	雌孔雀
peak	頂峯
peaked	尖的
peaker	峯值器
peaking	達到頂峯
peaks	頂峯
peaky	消瘦的
peal	鐘聲
peale	皮爾
pealed	鳴響
pealike	豌豆狀的
pealing	鳴響
peals	鐘聲
peanut	花生
peanuts	花生
pear	梨
pearce	皮爾斯
pearl	珍珠
pearlescent	珠光的
pearls	珍珠
pearly	珍珠般的
pears	梨
pearson	皮爾遜
peart	活潑的
peas	豌豆
peasant	農民
peasantry	農民階級
peasants	農民
pease	豌豆
peashooter	豆子槍
peat	泥炭
peaty	泥炭的
peavey	撬棍
pebble	鵝卵石
pebbles	鵝卵石
pebbleware	卵石陶器
pebbly	多卵石的
pecan	山核桃
peccable	易犯罪的
peccadillo	小過失
peccant	犯罪的
peccary	西貒
peck	啄
pecked	啄過
pecker	啄木鳥
pecking	啄食
peckish	飢餓的
pecks	啄
pecky	有蛀孔的
pecos	佩科斯
pectic	果膠的
pectin	果膠
pectination	梳狀
pectoral	胸的
pectose	果膠糖
peculate	挪用
peculiar	獨特的
peculiarities	特性
peculiarity	特性
peculiarly	獨特地
pecuniary	金錢的
pedagogic	教學的
pedagogical	教學的
pedagogically	教學上
pedagogue	教師
pedagogy	教育學
pedal	踏板
pedals	踏板
pedant	學究
pedantic	學究的
pedantry	學究氣
pedate	足狀的
peddle	兜售
peddler	小販
peddlers	小販
peddlery	小販業
peddling	兜售
pedestal	基座
pedestrian	行人
pedestrianism	步行
pedestrians	行人
pediatric	兒科
pediatrician	兒科醫生
pediatrics	兒科學
pedicab	三輪車
pedicure	足療
pediform	足形
pedigree	血統
pedigreed	純種
pediment	山牆
pedlar	小販
pedology	土壤學
pedometer	計步器
pedophilia	戀童癖
pedrail	履帶
pedro	佩德羅
peduncle	花梗
pedunculate	有梗的
pee	小便
peeing	小便
peek	偷看
peeked	偷看
peeking	偷看
peeks	偷看
peel	剝皮
peeled	剝皮
peeler	削皮器
peeling	剝皮
peels	剝皮
peen	錘頭
peep	窺視
peeped	窺視
peeper	窺視者
peephole	窺視孔
peeping	窺視
peeps	窺視
peepshow	窺視秀
peer	凝視
peerage	貴族
peered	凝視
peeress	女貴族
peering	凝視
peerless	無與倫比
peers	同輩
peeve	惱怒
peevish	易怒的
peg	釘
pegasus	飛馬
pegboard	釘板
peggy	佩吉
pegs	釘
peiping	北平
pejoration	貶義
pejorative	貶義的
peking	北京
pekoe	白毫
pelage	皮毛
pelagic	遠洋的
pelf	錢財
pelham	佩勒姆
pelican	鵜鶘
pella	佩拉
pellagra	糙皮病
pellagrous	糙皮病的
pellet	顆粒
pellicle	薄膜
pellitory	牆草屬
pellucid	清澈的
pelmet	窗簾盒
peloponnese	伯羅奔尼撒
peloponnesian	伯羅奔尼撒的
pelt	投擲
pelter	投擲者
pelting	猛擊
pelts	毛皮
pelvic	骨盆的
pelvis	骨盆
pembroke	彭布羅克
pemmican	乾肉餅
pen	筆
penal	刑罰的
penalise	處罰
penalize	處罰
penalized	受罰的
penalizes	處罰
penalizing	處罰中
penalties	處罰
penalty	處罰
penance	懺悔
penates	家神
pence	便士
penchant	嗜好
pencil	鉛筆
penciled	用鉛筆寫
pencils	鉛筆
pend	懸而未決
pendant	垂飾
pendants	垂飾
pended	懸而未決
pendency	懸而未決
pendent	懸垂的
pending	待定的
pendleton	彭德爾頓
pends	懸而未決
pendular	擺動的
pendulous	下垂的
pendulum	鐘擺
pendulums	鐘擺
penelope	佩內洛普
peneplain	準平原
penetrable	可穿透的
penetralia	密室
penetrate	穿透
penetrated	穿透
penetrates	穿透
penetrating	穿透的
penetratingly	尖銳地
penetration	穿透
penetrations	穿透
penetrative	穿透的
penetrator	穿透者
penetrators	穿透者
peng	彭
penguin	企鵝
penguins	企鵝
penh	金邊
penicillin	青黴素
penicillium	青黴菌
peninsula	半島
peninsular	半島的
peninsulas	半島
penis	陰莖
penises	陰莖
penitence	懺悔
penitent	懺悔者
penitential	懺悔的
penitentiary	監獄
penius	陰莖
penknife	小刀
penman	書法家
penmanship	書法
penn	賓州
pennate	羽狀的
penned	被寫的
pennies	便士
penniform	羽狀的
penniless	身無分文的
penning	寫作
pennis	陰莖
pennon	三角旗
pennsylvania	賓夕法尼亞
pennsylvanian	賓州人
penny	便士
pennycress	薺菜
pennyroyal	薄荷
pennyweight	英錢
penologist	刑罰學家
penology	刑罰學
penpoint	筆尖
penrose	彭羅斯
pens	筆
pensacola	彭薩科拉
pension	養老金
pensionable	可領養老金的
pensioner	領養老金者
pensions	養老金
pensive	沉思的
pensively	沉思地
penstock	壓力水管
pent	被關押的
pentachord	五絃琴
pentadactyl	五指
pentagon	五邊形
pentagonal	五邊形的
pentagons	五邊形
pentagram	五角星
pentamerous	五基數的
pentarchy	五頭政治
pentateuch	摩西五經
pentathlon	五項全能
pentax	賓得
pentecost	五旬節
pentecostal	五旬節派
penthouse	頂層公寓
pentium	奔騰
pentonville	彭頓維爾
pentstemon	釣鍾柳
penult	倒數第二
penultimate	倒數第二
penumbra	半影
penumbral	半影的
penurious	貧窮的
penury	貧困
peon	苦工
peonage	勞役償債
peony	牡丹
people	人
peopled	居住的
peoples	民族
peoria	皮奧里亞
pep	活力
peplum	腰褶
pepper	胡椒
pepperbox	胡椒盒
peppered	撒滿胡椒的
peppering	撒胡椒
peppermint	薄荷
pepperoni	意大利辣香腸
peppers	辣椒
peppery	胡椒味
peppy	精力充沛
pepsi	百事可樂
pepsico	百事公司
pepsico	百事公司
pepsin	胃蛋白酶
peptalk	鼓舞講話
peptic	消化的
peptide	肽
peptides	肽
per	每
peradventure	或許
perambulate	漫步
perambulation	漫步
perambulator	嬰兒車
percale	密織棉布
perceivable	可察覺的
perceivably	可察覺地
perceive	察覺
perceived	察覺的
perceiver	察覺者
perceivers	察覺者
perceives	察覺
perceiving	察覺
percent	百分比
percentage	百分比
percentages	百分比
percentile	百分位數
percentiles	百分位數
percents	百分比
percentum	百分比
percept	感知
perceptible	可察覺的
perceptibly	可察覺地
perception	感知
perceptions	感知
perceptive	敏銳的
perceptively	敏銳地
perceptivity	敏銳性
perceptual	感知的
perceptually	感知上
perch	棲息
perchance	或許
perched	棲息
percher	棲息者
perches	棲息
perching	棲息
percipience	洞察力
percipient	洞察的
percival	珀西瓦爾
percolate	滲透
percolation	滲透
percuss	敲擊
percussion	打擊樂
percussive	打擊的
percutaneous	經皮的
percy	珀西
perdition	毀滅
perdue	潛伏的
perdurable	持久的
peregrinate	遊歷
peregrination	遊歷
peregrine	遊隼
peremptorily	專橫地
peremptoriness	專橫
peremptory	專橫的
perennial	多年生的
perennially	常年地
perez	佩雷斯
perfect	完美的
perfected	完善的
perfectibility	可完善性
perfectible	可完善的
perfecting	完善
perfection	完美
perfectionist	完美主義者
perfectionists	完美主義者
perfective	完成的
perfectly	完美地
perfectness	完美
perfecto	完美雪茄
perfects	完善
perfidious	背信棄義的
perfidy	背信棄義
perforate	穿孔
perforation	穿孔
perforator	穿孔器
perforce	必然地
perform	執行
performance	表現
performances	表演
performed	表演了
performer	表演者
performers	表演者
performing	表演中
performs	表演
perfume	香水
perfumed	有香味的
perfumer	調香師
perfumery	香水店
perfumes	香水
perfuming	加香
perfunctorily	敷衍地
perfunctory	敷衍的
perfuse	灌注
perfusion	灌注
pergamon	帕加馬
pergola	涼棚
perhaps	也許
peri	周圍
periapt	護身符
pericarditis	心包炎
pericarp	果皮
periclean	伯里克利的
pericles	伯里克利
pericranium	顱骨膜
