㑮	㑮\t𫝈
黴	霉
黶	黡
黷	黩
黽	黾
黿	鼋
鼂	鼌
鼉	鼍
鼕	冬
鼴	鼹
齊	齐
齋	斋
齎	赍
齏	齑
齒	齿
齔	龀
齕	龁
齗	龂
齘	𬹼
齙	龅
齜	龇
齟	龃
齠	龆
齡	龄
齣	出
齦	龈
齧	啮\t𫜩
齩	齩\t𫜪
齪	龊
齬	龉
齭	齭\t𫜭
齮	𬺈
齯	𫠜
齰	齰\t𫜬
齲	龋
齴	齴\t𫜮
齶	腭
齷	龌
齼	𬺓
齾	齾\t𫜰
龍	龙
龎	厐
龐	庞
龑	䶮
龓	龓\t𫜲
龔	龚
龕	龛
龜	龟
龢	龢\t和
龭	龭\t𩨎
龯	龯\t𨱆
鿁	䜤
鿓	鿒
𠁞	𠀾
𠌥	𠌥\t𠆿
𠏢	𠏢\t𠉗
𠐊	𠐊\t𫝋
𠗣	㓆
𠞆	𠞆\t𠛆
𠠎	𠠎\t𠚳
𠬙	𠬙\t𪠡
𠼤	𠼤\t𫪄
𠽃	𠽃\t𪠺
𠿕	𠿕\t𪜎
𡂡	𡂡\t𪢒
𡃄	𡃄\t𪡺
𡃕	𠴛
𡃤	𡃤\t𪢐
𡄔	𡄔\t𠴢
𡄣	𡄣\t𠵸
𡅏	𠲥
𡅯	𡅯\t𪢖
𡑍	𫭼
𡑭	𡋗
𡓁	𡓁\t𪤄
𡓾	𡋀
𡔖	𡍣
𡞵	㛟
𡟫	𡟫\t𫝪
𡠹	㛿
𡢃	㛠
𡮉	𡭜
𡮣	𡭬
𡳳	𡳃
𡸗	𡸗\t𪨩
𡹬	𡹬\t𪨹
𡻕	岁
𡽗	𡽗\t𡸃
𡾱	㟜
𡿖	𡿖\t𪩛
𢍰	𢍰\t𪪴
𢠼	𢠼\t𢙑
𢣐	𢣐\t𪬚
𢣚	𢘝
𢣭	𢣭\t𢘞
𢤩	𢤩\t𪫡
𢤱	𢤱\t𢘙
𢤿	𢤿\t𪬯
𢯷	𢯷\t𪭝
𢶒	𢶒\t𪭯
𢶫	𢫞
𢷮	𢷮\t𢫊
𢹿	𢬦
𢺳	𢺳\t𪮳
𣈶	暅
𣋋	𣋋\t𣈣
𣍐	𣍐\t𫧃
𣙎	㭣
𣜬	𣜬\t𪳗
𣝕	𣝕\t𣘷
𣞻	𣘓
𣠩	𣞎
𣠲	𣑶
𣯩	𣯩\t𣯣
𣯴	𣯴\t𣭤
𣯶	毶
𣽏	𣽏\t𪶮
𣾷	㳢
𣿉	𣿉\t𣶫
𤁣	𣺽
𤄷	𤄷\t𪶒
𤅶	𣷷
𤑳	𤑳\t𤎻
𤑹	𤑹\t𪹀
𤒎	𤒎\t𤊀
𤒻	𤒻\t𪹹
𤓌	𤓌\t𪹠
𤓎	𤓎\t𤎺
𤓩	𤊰
𤘀	𤘀\t𪺣
𤛮	𤛮\t𤙯
𤛱	𤛱\t𫞢
𤜆	𤜆\t𪺪
𤠮	𤠮\t𪺸
𤢟	𤢟\t𤝢
𤢻	𤢻\t𢢐
𤩂	𤩂\t𫞧
𤪺	㻘
𤫩	㻏
𤬅	𤬅\t𪼴
𤳷	𤳷\t𪽝
𤳸	𤳄
𤷃	𤷃\t𪽭
𤸫	𤸫\t𤶧
𤺔	𤺔\t𪽴
𥊝	𥅿
𥌃	𥅘
𥏝	𥏝\t𪿊
𥕥	𥐰
𥖅	𥐯
𥖲	𥖲\t𪿞
𥗇	𥗇\t𪿵
𥗽	𬒗
𥜐	𥜐\t𫀓
𥜰	𥜰\t𫀌
𥞵	𥞵\t𥞦
𥢢	䅪
𥢶	𥢶\t𫞷
𥢷	𥢷\t𫀮
𥨐	𥨐\t𥧂
𥪂	𥪂\t𥩺
𥯤	𥯤\t𫁳
𥴨	𥴨\t𫂖
𥴼	𥴼\t𫁺
𥵃	𥵃\t𥱔
𥵊	𥵊\t𥭉
𥶽	𥶽\t𫁱
𥸠	𥮋
𥻦	𥻦\t𫂿
𥼽	𥹥
𥽖	𥽖\t𥺇
𥾯	𥾯\t𫄝
𥿊	𥿊\t𦈈
𦀖	𦀖\t𫄦
𦂅	𦂅\t𦈒
𦃄	𦃄\t𦈗
𦃩	𦃩\t𫄯
𦅇	𦅇\t𫄪
𦅈	𦅈\t𫄵
𦆲	𦆲\t𫟇
𦒀	𦒀\t𫅥
𦔖	𦔖\t𫅼
𦘧	𡳒
𦟼	𦟼\t𫆝
𦠅	𦠅\t𫞅
𦡝	𦡝\t𫆫
𦢈	𦢈\t𣍨
𦣎	𦟗
𦧺	𦧺\t𫇘
𦪙	䑽
𦪽	𦪽\t𦨩
𦱌	𦱌\t𫇪
𦾟	𦾟\t𦶻
𧎈	𧎈\t𧌥
𧒯	𧒯\t𫊹
𧔥	𧔥\t𧒭
𧕟	𧕟\t𧉐
𧜗	䘞
𧜵	䙊
𧝞	䘛
𧞫	𧞫\t𫌋
𧟀	𧝧
𧡴	𧡴\t𫌫
𧢄	𧢄\t𫌬
𧦝	𧦝\t𫍞
𧦧	𧦧\t𫍟
𧩕	𧩕\t𫍭
𧩙	䜥
𧩼	𧩼\t𫍶
𧫝	𧫝\t𫍺
𧬤	𧬤\t𫍼
𧭈	𧭈\t𫍾
𧭹	𧭹\t𫍐
𧳟	𧳟\t𧳕
𧵳	䞌
𧶔	𧶔\t𧹓
𧶧	䞎
𧷎	𧷎\t𪠀
𧸘	𧸘\t𫎨
𧹈	𧹈\t𪥠
𧽯	𧽯\t𫎸
𨂐	𨂐\t𫏌
𨄣	𨄣\t𨀱
𨅍	𨅍\t𨁴
𨆪	𨆪\t𫏕
𨇁	𨇁\t𧿈
𨇞	𨇞\t𨅫
𨇤	𨇤\t𫏨
𨇰	𨇰\t𫏞
𨇽	𨇽\t𫏑
𨈊	𨈊\t𨂺
𨈌	𨈌\t𨄄
𨊰	䢀
𨊸	䢁
𨊻	𨊻\t𨐆
𨋢	䢂
𨌈	𨌈\t𫐍
𨍰	𨍰\t𫐔
𨎌	𨎌\t𫐋
𨎮	𨎮\t𨐉
𨏠	𨏠\t𨐇
𨏥	𨏥\t𨐊
𨞺	𨞺\t𫟫
𨟊	𨟊\t𫟬
𨢿	𨢿\t𨡙
𨣈	𨣈\t𨡺
𨣞	𨣞\t𨟳
𨣧	𨣧\t𨠨
𨤻	𨤰
𨥛	𨥛\t𨱀
𨥟	𨥟\t𫓫
𨦫	䦀
𨧀	𬭊
𨧜	䦁
𨧰	𨧰\t𫟽
𨧱	𨧱\t𨱊
𨨏	𬭛
𨨛	𨨛\t𫓼
𨨢	𨨢\t𫓿
𨩰	𨩰\t𫟾
𨪕	𨪕\t𫓮
𨫒	𨫒\t𨱐
𨬖	𨬖\t𫔏
𨭆	𬭶
𨭎	𬭳
𨭖	𨭖\t𫔑
𨭸	𨭸\t𫔐
𨮂	𨮂\t𨱕
𨮳	𨮳\t𫔒
𨯅	䥿
𨯟	𨯟\t𫔓
𨰃	𨰃\t𫔉
𨰋	𨰋\t𫓳
𨰥	𨰥\t𫔕
𨰲	𨰲\t𫔃
𨲳	𨲳\t𫔖
𨳑	𨳑\t𨸁
𨳕	𨳕\t𨸀
𨴗	𨴗\t𨸅
𨴹	𨴹\t𫔲
𨵩	𨵩\t𨸆
𨵸	𨵸\t𨸇
𨶀	𨶀\t𨸉
𨶏	𨶏\t𨸊
𨶮	𨶮\t𨸌
𨶲	𨶲\t𨸋
𨷲	𨷲\t𨸎
𨼳	𨼳\t𫔽
𨽏	𨽏\t𨸘
𩀨	𩀨\t𫕚
𩅙	𩅙\t𫕨
𩎖	𩎖\t𫖑
𩎢	𩎢\t𩏾
𩏂	𩏂\t𫖓
𩏠	𩏠\t𫖖
𩏪	𩏪\t𩏽
𩏷	𩏷\t𫃗
𩑔	𩑔\t𫖪
𩒎	𩒎\t𫖭
𩓣	𩓣\t𩖕
𩓥	𩓥\t𫖵
𩔑	𩔑\t𫖷
𩔳	𩔳\t𫖴
𩖰	𩖰\t𫠇
𩗀	𩗀\t𩙦
𩗓	𩗓\t𫗈
𩗴	𩗴\t𫗉
𩘀	𩘀\t𩙩
𩘝	𩘝\t𩙭
𩘹	𩘹\t𩙨
𩘺	𩘺\t𩙬
𩙈	𩙈\t𩙰
𩚛	𩚛\t𩟿
𩚥	𩚥\t𩠀
𩚩	𩚩\t𫗡
𩚵	𩚵\t𩠁
𩛆	𩛆\t𩠂
𩛌	𩛌\t𫗤
𩛡	𩛡\t𫗨
𩛩	𩛩\t𩠃
𩜇	𩜇\t𩠉
𩜦	𩜦\t𩠆
𩜵	𩜵\t𩠊
𩝔	𩝔\t𩠋
𩝽	𩝽\t𫗳
𩞄	𩞄\t𩠎
𩞦	𩞦\t𩠏
𩞯	䭪
𩟐	𩟐\t𩠅
𩟗	𩟗\t𫗚
𩠴	𩠠
𩡣	𩡣\t𩡖
𩡺	𩡺\t𩧦
𩢡	𩢡\t𩧬
𩢴	𩢴\t𩧵
𩢸	𩢸\t𩧳
𩢾	𩢾\t𩧮
𩣏	𩣏\t𩧶
𩣑	䯃
𩣫	𩣫\t𩧸
𩣵	𩣵\t𩧻
𩣺	𩣺\t𩧼
𩤊	𩤊\t𩧩
𩤙	𩤙\t𩨆
𩤲	𩤲\t𩨉
𩤸	𩤸\t𩨅
𩥄	𩥄\t𩨋
𩥇	𩥇\t𩨍
𩥉	𩥉\t𩧱
𩥑	𩥑\t𩨌
𩦠	𩦠\t𫠌
𩧆	𩧆\t𩨐
𩭙	𩭙\t𩬣
𩯁	𩯁\t𫙂
𩯳	𩯳\t𩯒
𩰀	𩰀\t𩬤
𩰹	𩰹\t𩰰
𩳤	𩳤\t𩲒
𩴵	𩴵\t𩴌
𩵦	𩵦\t𫠏
𩵩	𩵩\t𩽺
𩵹	𩵹\t𩽻
𩶁	𩶁\t𫚎
𩶘	䲞
𩶰	𩶰\t𩽿
𩶱	𩶱\t𩽽
𩷰	𩷰\t𩾄
𩸃	𩸃\t𩾅
𩸄	𩸄\t𫚝
𩸡	𩸡\t𫚟
𩸦	𩸦\t𩾆
𩻗	𩻗\t𫚨
𩻬	𩻬\t𫚩
𩻮	𩻮\t𫚘
𩼶	𩼶\t𫚬
𩽇	𩽇\t𩾎
𩿅	𩿅\t𫠖
𩿤	𩿤\t𫛠
𩿪	𩿪\t𪉄
𪀖	𪀖\t𫛧
𪀦	𪀦\t𪉅
𪀾	𪀾\t𪉋
𪁈	𪁈\t𪉉
𪁖	𪁖\t𪉌
𪂆	𪂆\t𪉎
𪃍	𪃍\t𪉐
𪃏	𪃏\t𪉏
𪃒	𪃒\t𫛻
𪃧	𪃧\t𫛹
𪄆	𪄆\t𪉔
𪄕	𪄕\t𪉒
𪅂	𪅂\t𫜂
𪆷	𪆷\t𫛾
𪇳	𪇳\t𪉕
𪈼	𪈼\t𱊜
𪉸	𪉸\t𫜊
𪋿	𪋿\t𫧮
𪌭	𪌭\t𫜓
𪍠	𪍠\t𫜕
𪓰	𪓰\t𫜟
𪔵	𪔵\t𪔭
𪘀	𪘀\t𪚏
𪘯	𪘯\t𪚐
𪙏	𪙏\t𫜯
𪟖	𪟖\t𠛾
𪷓	𪷓\t𣶭
𫒡	𫒡\t𫓷
𫜦	𫜦\t𫜫
𰻞	𰻝
